UID,recency,frequency,monetary_value,R_Mean,F_Mean,M_Mean,Score,Rank
1341104,56.877627314814816,26,10950,1,0,0,100,5
1361552,23.38300925925926,2,1000,0,1,1,011,4
1368368,102.59127314814815,23,3300,1,0,0,100,5
1369904,213.78633101851852,3,1150,1,1,1,111,1
1374736,448.00927083333335,1,300,1,1,1,111,1
1399808,246.89275462962962,2,290,1,1,1,111,1
1413088,46.07125,28,10750,0,0,0,000,8
1427408,615.1735300925926,1,500,1,1,1,111,1
1431568,24.07383101851852,2,650,0,1,1,011,4
1442384,39.81690972222222,5,2300,0,1,0,010,6
1454192,340.7489814814815,9,4100,1,0,0,100,5
1462704,346.8023263888889,1,500,1,1,1,111,1
1490000,7.768888888888889,16,2700,0,0,0,000,8
1493280,362.7935300925926,1,500,1,1,1,111,1
1511808,3.0788425925925926,28,10925,0,0,0,000,8
1516800,54.29902777777778,7,2100,1,0,0,100,5
1525312,99.80190972222222,9,3400,1,0,0,100,5
1546880,84.84453703703704,26,12200,1,0,0,100,5
1563920,37.742465277777775,7,1750,0,0,1,001,7
1574400,353.70199074074077,4,1350,1,1,1,111,1
1576832,35.83696759259259,7,2500,0,0,0,000,8
1577008,126.93417824074074,12,2900,1,0,0,100,5
1600368,70.76165509259259,17,7300,1,0,0,100,5
1603344,352.5237037037037,1,500,1,1,1,111,1
1635264,49.90255787037037,56,22050,1,0,0,100,5
1663392,19.66872685185185,20,5250,0,0,0,000,8
1680128,47.161967592592596,3,1250,0,1,1,011,4
1689456,245.34465277777778,13,6150,1,0,0,100,5
1714512,110.01743055555555,1,300,1,1,1,111,1
1718256,25.04170138888889,47,17500,0,0,0,000,8
1740128,45.744548611111114,84,16925,0,0,0,000,8
1741248,1.075914351851852,1,300,0,1,1,011,4
1742240,8.871041666666667,5,2300,0,1,0,010,6
1756544,167.81983796296296,14,5600,1,0,0,100,5
1790720,27.015219907407406,19,8050,0,0,0,000,8
1821376,133.76721064814814,23,10050,1,0,0,100,5
1832800,537.8514814814815,1,450,1,1,1,111,1
1838752,49.82505787037037,27,11650,0,0,0,000,8
1963872,50.54454861111111,15,5250,1,0,0,100,5
1981584,400.63502314814815,1,500,1,1,1,111,1
1991792,32.8240625,5,1200,0,1,1,011,4
2014080,148.6412962962963,34,7950,1,0,0,100,5
2022768,73.38179398148148,5,2500,1,1,0,110,2
2221216,8.88474537037037,85,27700,0,0,0,000,8
2313904,226.99395833333332,26,10250,1,0,0,100,5
2438848,526.7517824074074,1,150,1,1,1,111,1
2540976,596.7311921296297,1,500,1,1,1,111,1
2577568,25.939965277777777,6,2950,0,1,0,010,6
2641008,354.9584722222222,1,500,1,1,1,111,1
2776496,359.71505787037034,1,500,1,1,1,111,1
2825568,60.076875,9,4150,1,0,0,100,5
2854480,345.5176388888889,1,500,1,1,1,111,1
2885056,1.1781481481481482,18,6850,0,0,0,000,8
2885232,25.760381944444443,17,2950,0,0,0,000,8
2920416,52.041689814814816,5,2500,1,1,0,110,2
2928304,0.7001967592592593,7,1350,0,0,1,001,7
3022816,28.536018518518517,5,1250,0,1,1,011,4
3031776,22.804537037037036,32,2705,0,0,0,000,8
3074160,27.691944444444445,18,6600,0,0,0,000,8
3206768,13.711087962962964,2,1000,0,1,1,011,4
3213872,184.6481134259259,9,4200,1,0,0,100,5
3235968,354.85729166666664,2,1100,1,1,1,111,1
3295120,37.035752314814815,21,7450,0,0,0,000,8
3330448,79.80800925925926,3,1500,1,1,1,111,1
3344848,6.217858796296296,34,14800,0,0,0,000,8
3352896,47.820335648148145,2,850,0,1,1,011,4
3502128,25.982777777777777,4,1600,0,1,1,011,4
3516336,49.006712962962965,4,1650,0,1,1,011,4
3528624,7.8321875,1,500,0,1,1,011,4
3599568,0.7920486111111111,53,23200,0,0,0,000,8
3660880,54.730636574074076,8,3450,1,0,0,100,5
3717280,78.02451388888889,8,2950,1,0,0,100,5
3753824,9.670393518518518,1,450,0,1,1,011,4
3839888,100.97644675925926,17,3930,1,0,0,100,5
3847936,160.3394675925926,6,1500,1,1,1,111,1
3866192,14.860648148148147,1,150,0,1,1,011,4
3873392,61.03116898148148,3,1010,1,1,1,111,1
3884784,291.5048263888889,2,100,1,1,1,111,1
3911344,1.9336921296296297,35,12150,0,0,0,000,8
3965792,164.0582986111111,1,300,1,1,1,111,1
3988048,357.06761574074073,4,1250,1,1,1,111,1
4134048,15.586180555555556,9,2300,0,0,0,000,8
4165024,87.91164351851852,9,3450,1,0,0,100,5
4189520,147.78354166666668,16,6100,1,0,0,100,5
4232400,76.87769675925927,2,100,1,1,1,111,1
4375168,3.3951736111111113,14,3050,0,0,0,000,8
4393248,198.1348148148148,2,1250,1,1,1,111,1
4454544,147.72966435185185,9,4545,1,0,0,100,5
4466000,39.815810185185185,2,1100,0,1,1,011,4
4481408,57.761180555555555,21,1445,1,0,1,101,3
4545440,21.737453703703704,2,650,0,1,1,011,4
4567552,157.04503472222223,2,1000,1,1,1,111,1
4641696,35.706238425925925,5,1250,0,1,1,011,4
4776688,29.77116898148148,3,750,0,1,1,011,4
4796368,37.5959375,23,6900,0,0,0,000,8
5011680,70.92311342592592,2,600,1,1,1,111,1
5054192,43.68165509259259,8,3840,0,0,0,000,8
5099664,58.852465277777775,10,2900,1,0,0,100,5
5137280,378.60078703703704,10,5000,1,0,0,100,5
5223392,101.78277777777778,7,3300,1,0,0,100,5
5238448,10.3190625,15,3450,0,0,0,000,8
5529376,4.672337962962963,17,1930,0,0,0,000,8
5632048,0.2895138888888889,20,6050,0,0,0,000,8
5816464,321.7667476851852,6,1440,1,1,1,111,1
5875552,35.759791666666665,10,3460,0,0,0,000,8
5880000,7.142569444444445,1,150,0,1,1,011,4
5910912,357.06953703703704,1,500,1,1,1,111,1
5957824,203.30412037037038,26,11250,1,0,0,100,5
6056352,18.966921296296295,2,650,0,1,1,011,4
6122384,600.6828587962963,2,1000,1,1,1,111,1
6132064,6.818831018518519,2,1250,0,1,1,011,4
6140944,524.0161342592593,1,150,1,1,1,111,1
6167264,195.64819444444444,2,1000,1,1,1,111,1
6210640,208.7347800925926,3,1100,1,1,1,111,1
6371248,224.00045138888888,5,1000,1,1,1,111,1
6491248,14.221030092592592,24,5700,0,0,0,000,8
6491984,178.11858796296298,2,650,1,1,1,111,1
6559248,52.20456018518519,1,300,1,1,1,111,1
6647184,374.95131944444444,8,3650,1,0,0,100,5
6733392,119.36776620370371,3,1500,1,1,1,111,1
6794448,55.0721875,23,5200,1,0,0,100,5
6822096,149.86342592592592,8,1750,1,0,1,101,3
6904096,58.23005787037037,1,150,1,1,1,111,1
7048944,23.005011574074075,17,5235,0,0,0,000,8
7145536,21.82460648148148,57,22400,0,0,0,000,8
7194848,294.62622685185187,3,1150,1,1,1,111,1
7286704,57.59306712962963,2,1250,1,1,1,111,1
7340976,46.61136574074074,5,1400,0,1,1,011,4
7349600,57.97806712962963,1,300,1,1,1,111,1
